"",TCGA.FA.8693,TCGA.FA.A4BB,TCGA.FA.A4XK,TCGA.FA.A6HN,TCGA.FA.A6HO,TCGA.FA.A7DS,TCGA.FA.A7Q1,TCGA.FA.A82F,TCGA.FA.A86F,TCGA.FF.8041,TCGA.FF.8042,TCGA.FF.8043,TCGA.FF.8046,TCGA.FF.8047,TCGA.FF.8061,TCGA.FF.8062,TCGA.FF.A7CQ,TCGA.FF.A7CR,TCGA.FF.A7CW,TCGA.FF.A7CX,TCGA.FM.8000,TCGA.G8.6324,TCGA.G8.6325,TCGA.G8.6326,TCGA.G8.6906,TCGA.G8.6907,TCGA.G8.6909,TCGA.G8.6914,TCGA.GR.7353,TCGA.GR.A4D4,TCGA.GR.A4D5,TCGA.GR.A4D6,TCGA.GS.A9TQ,TCGA.GS.A9TT,TCGA.GS.A9TU,TCGA.GS.A9TV,TCGA.GS.A9TW,TCGA.GS.A9TX,TCGA.GS.A9TY,TCGA.GS.A9TZ,TCGA.GS.A9U3,TCGA.GS.A9U4,TCGA.RQ.A68N,TCGA.RQ.A6JB,TCGA.RQ.AAAT
hsa-let-7i-5p,0.693781879569244,0.573470514358248,0.588369310371663,0.518294146906409,0.577368616817402,0.50876480499178,0.465630758324308,0.517756235057871,0.487277576904673,0.469395031849149,0.57875003536184,0.477610120535903,0.543601880620188,0.517786786656105,0.46689779397375,0.522218155723883,0.524984212497076,0.596546910317774,0.47046119069802,0.448926081996235,0.530054634457824,0.57145326697976,0.626141262504811,0.734857735470347,0.586835840853831,0.47812807155506,0.565485123818681,0.564966559753744,0.317016956180594,0.449002667361778,0.585196592829381,0.536278756565627,0.521461251805874,0.489600838026226,0.544924989170006,0.61551384592793,0.568037519243882,0.541540997982725,0.503780744162566,0.629064309485706,0.59563041386628,0.591572193467226,0.58790953632441,0.569456792632124,0.36048443097455
hsa-miR-1-3p,-1.0990665260977,-1.46862998222531,-1.31025677089055,-2.06995889143984,-1.06813324507295,-1.86912831705714,-1.36023840079767,-0.302252018142579,-1.9769887268426,-2.36837602401548,-2.28290521554364,-2.28542358814577,-1.53166309282903,-1.26136566623398,-1.81876002766121,-1.66762881302053,-2.21291831534041,-1.62931993331037,-1.53406225508988,0.0974218240513909,-1.62778430123359,-2.62909228604962,-1.96702444453339,-1.43147521019043,-1.35956427107064,-2.55283762182796,-2.7286124807645,-1.46963329350809,-2.10596919021657,-1.50132193534497,-0.741672565626332,-0.705914594408466,-1.92241750947625,-1.94610719188197,-1.97421234691905,-1.60708600838414,-2.07356471298685,-1.89846672839,-2.04533485091434,-2.06637802858676,-1.8533679802849,-1.45419319501953,-1.58055236989569,-1.6082211644756,-1.78598188508694
hsa-miR-100-5p,0.748149084063906,0.754707408173171,0.518133176409916,0.710688418077434,0.800007013907861,0.655085918789942,0.738709867002871,0.921135628659702,0.68756510759979,0.830230273448858,0.600133296849954,0.823676066305349,0.805518268622289,0.747286948665978,0.822588467315887,1.02021039701312,0.718175884174815,0.747488192516497,0.621135121481386,0.56432267123281,0.825712427140218,0.60465856022367,0.77598519128653,0.667805792638775,0.671307473501252,0.799825351940953,0.675704929545389,0.811660994065323,0.736032901463554,0.848752338408656,0.73941115098998,0.664206698619256,0.705791083557594,0.781320174703527,0.786583527526621,0.741344136659854,0.686025784567749,0.694899206013059,0.776576596823971,0.759115852080614,0.751604107919926,0.322337580877474,0.85491434446611,0.784836726553481,0.882438300244072
hsa-miR-101-3p,0.827395035205582,0.845801375140752,0.684099530190045,0.825390466519568,0.892720395997731,0.779132645890416,0.859532671150665,0.852257133376655,0.843021909128584,0.917838947545908,0.920012836615433,0.826731590415808,0.930375106205766,0.945143663572828,0.855153226118641,1.01677010334872,0.815937203950429,0.855246362318824,0.882032341592463,0.777998600833379,0.769313715048273,1.06976342822206,0.928122251925566,0.953517512192735,0.913180275999145,0.950590640641907,0.797297382058019,0.770423506390962,0.814044256155425,0.863896881370503,0.894841108951578,0.894802635922492,0.797817988052659,0.794466823552546,0.813883578082163,0.949867440583974,0.866052225763113,0.924846059036408,0.787550108306005,0.884134742950073,0.859224997008973,0.738721353755968,0.821357927998531,0.747695854953174,0.884522944399657
hsa-miR-106a-5p,-0.702026066579611,-0.781814823251642,-0.692148839169227,-0.63607309834223,-0.511489605577431,0.369550879841514,-0.0315113426873853,-0.193648667369688,0.134234194420528,-0.608577980402217,-0.477089391616466,-0.225308330671462,-0.200091380238251,-0.296562073028156,-0.16042926572746,-0.870123109838407,0.23653532452632,0.236307667052191,0.177678851976344,0.0582559372352785,-0.526364647844981,-0.676546483065741,-0.555980958960584,-0.505432458903846,-0.448809873175621,-0.737740355631103,-0.26584304240384,-0.326834158714385,-0.309134363524238,-0.172508660859918,-0.203640114770289,-0.721930783095605,0.164732890306739,0.170829555447227,-0.242679943186885,-0.0904991145120295,0.0281902950596331,-0.119602344016265,-0.138457047349524,-0.21288433617974,-0.112609265956449,0.0875141125697334,-0.152281375352275,-0.555368272409169,0.14928583362167
hsa-miR-106b-5p,0.470823951727546,0.431206122210675,0.461984841659184,0.450671035663286,0.494992913786621,0.630445129627863,0.554020122378593,0.426165327569317,0.477448368084262,0.519959242627262,0.788879311728809,0.625624144638308,0.611877091598354,0.663046299183752,0.631755010075642,0.464986818133137,0.592986427681772,0.550230191585566,0.568474345636344,0.546947636282771,0.61408068682181,0.50766272466568,0.566457633407571,0.517548520746134,0.523279737554806,0.606618166924322,0.453167398988862,0.535600854670435,0.678353997268663,0.662213886699056,0.446663785319391,0.585729024230089,0.636609767541247,0.546103258246412,0.499230693727499,0.381562394560453,0.494267895450194,0.461875749916288,0.491839716631555,0.381531677316267,0.383555995929704,0.437958247330307,0.575826028503318,0.57296864703402,0.596349371906824
hsa-miR-107,-0.0920586848070296,-0.0879916939049804,-0.104683718462693,-0.0556502155189467,-0.0067931998548104,0.118899845035932,0.210442831096308,-0.106367874681123,0.0503003054885828,0.163044516648567,0.19991142061126,0.237373269332742,0.228157139844894,0.271744388860665,0.141382598132687,-0.13376087789333,0.278717861312672,0.145871145892904,0.0769045922744785,-0.0555052085400054,0.153648893852141,0.0846002332578645,0.171120206003334,0.141092496977201,0.159694269606253,0.139714999970516,0.206062458808935,0.146976509557758,0.337954365587718,-0.0622598416528683,-0.045922525789424,-0.146479195098366,0.212386337500353,0.171287645099243,0.0735563576724869,0.105456470210401,0.161193792415314,0.114153977473029,0.149498586457633,0.140068987121663,0.0451141770497727,0.0928127988724821,0.000447069001212486,0.0431779122431736,0.10788404677567
hsa-miR-10a-5p,0.909639477603799,0.828853828863584,0.920109200857394,0.587943245258105,0.779043520313175,0.765309813509239,0.847256039458563,1.01463305599391,0.780914590459225,0.687799528550039,0.751168087933008,0.785705440338959,0.761559778216674,0.534336235339897,0.887679764513727,0.902822240545916,0.693890128236885,0.581328797716231,0.702643987926293,0.662029514466459,0.781863826471628,0.873395726971896,0.820500104112859,0.797300751309176,0.827337235978844,0.759596357084731,0.750908279684171,0.842260946355902,0.792814446813989,0.844445896780893,0.749411537658802,0.613823514217937,0.672352129039818,0.235836948862639,0.712714046317056,0.76179316204516,0.760389906425805,0.573327308844283,0.807157435572991,0.740417709372782,0.844707798386647,0.511285744385212,0.645277814794544,0.647078931123582,0.410435766748617
hsa-miR-10b-5p,0.983682300601719,1.1405562692251,1.03304689821936,1.02083244747076,1.00733832324959,0.99036028777867,0.909274849365889,1.02471540495803,1.0204949605271,0.921754640014371,0.958891417783952,0.895202191712644,1.12049224976967,0.960273868038517,0.849657497519748,0.992920629083881,0.94199244363583,0.872168044787675,1.0174505210282,0.885109502303692,0.974391084681491,1.03647288509065,0.924866211002872,0.818317637728524,0.880209193530084,0.985376673016435,0.943980317929373,0.955478158598192,0.941522572421856,1.02864038311436,0.999370594034544,1.07759173017551,0.900645098970449,0.896414588797338,0.969375981996417,0.962787001373034,0.955339411027173,0.920587378258503,1.00315571125212,0.990132398462514,1.01246525960367,0.866130156646752,0.712739841131197,1.00498928470793,0.29754947865906
hsa-miR-122-5p,-2.57309551163043,-2.73487336272261,-2.34045209100415,-2.67654107759481,-2.60346174712315,-2.36160109786876,-2.49086098305701,-1.86698731142101,-2.59946810132304,-2.63597476778256,-2.28290521554364,-2.47767688020192,-2.80059539968463,-1.48471130885027,-2.63980573463809,-3.64967460942109,-1.75446974203974,-2.3256414431599,-2.42653395020708,-3.0408215779853,-2.75755937836686,-3.30926912943541,-1.75044720549601,-2.70949640071722,-2.48651824535765,-2.47675480398654,-1.52683470320631,-2.47439971889662,-2.94344379716784,-2.11719001158349,-2.82377121488771,-2.86087916694094,-2.53483351331433,-2.01971338771483,-2.67852191455298,-2.56644811394065,-1.87892599005691,-2.02443017724443,-2.36553711048341,-2.2681262945269,-2.49762229845275,-2.59040650651593,-2.68293069548224,-2.09051485755736,-3.11462043786528
hsa-miR-124-3p,-2.05179120156759,-2.52291581450404,-2.34045209100415,-2.67654107759481,-2.60346174712315,-2.36160109786876,-2.49086098305701,-2.92981225303038,-2.59946810132304,-2.45175925544789,-1.95512347159486,-1.89977451587713,-2.80059539968463,-2.65810685627189,-2.47002020593429,-3.28063570668282,-1.888434753721,-2.38174911445947,-2.2114071208911,-2.57282306806894,-2.43886848209385,-2.57787803823897,-2.43481278757858,-2.44644274248299,-2.2329162438034,-2.66587877433464,-3.0643419768436,-2.47439971889662,-1.63237030699252,-3.16751372432174,-2.82377121488771,-2.49667072736334,-2.53483351331433,-2.38496292756023,-2.58824976427489,-2.56644811394065,-2.30524784283294,-2.67661700859982,-2.36553711048341,-2.12994261326848,-2.49762229845275,-2.42275140218335,-1.94863232765003,-2.51417507571863,-0.167429737669021
hsa-miR-125a-5p,0.413512332190144,0.54420105478839,0.399588878298821,0.401831715756249,0.406872101913064,0.14282889163948,0.26062438181638,0.414141045638689,0.378357125275633,0.398910950081306,0.398075601615611,0.323336310872037,0.325252744958523,0.195679426274076,0.289895389889964,0.395627400959536,0.239853758906588,0.310253281981168,0.228978284064744,0.0574564586740099,0.390625808008941,0.261516649431107,0.413898638381004,0.300877190046266,0.329071663709657,0.297894053742875,0.274854404981397,0.324268427185845,0.357375446672788,0.31760980216503,0.399200335986306,0.325649760862537,0.294731101887124,0.321512467687713,0.37463670887841,0.372356839542764,0.428005349981156,0.408604865996968,0.405097808513162,0.376839317710031,0.385570240377044,0.322905264100005,0.402717341894705,0.315286424838929,0.464101753111618
hsa-miR-125b-5p,0.216604314395348,0.333840122949942,0.211484532935576,0.302646575686164,0.201937024533637,-0.0242313754558855,0.211571406630918,0.306183581162682,0.178758493926037,0.294323520680456,0.263234331801137,0.290657862794833,0.265331599685055,0.188009562903465,0.182548959268384,0.359004271856993,0.253159604742955,0.191090508147437,0.061339527199439,0.041609412180559,0.299877381070655,0.0309717753464142,0.297975562416511,0.226061054146639,0.195877248628938,0.176261494228223,0.207329002077283,0.346085522114036,0.261477517909405,0.234421899893633,0.230499922128398,0.217480211821828,0.204253115670146,0.213085689316119,0.331961956697643,0.248795956032043,0.221508546053815,0.129799442920681,0.289084348664474,0.241831374409077,0.245090878817819,-0.10126632228885,0.272445409840234,0.282115275576391,0.381377125903399
hsa-miR-129-5p,-2.57309551163043,-1.32539347597217,-2.34045209100415,-2.42463456992814,-1.5270397456685,-1.80576419107577,0.0524958751287119,-1.07932164490581,-1.95012632520832,0.0493391214091366,0.0740642608154395,-0.0142679678286859,-0.262006421804435,-0.907637917346431,0.339961196400335,-1.53167304435895,-1.52187940469039,-2.40392894917349,-2.00579840501336,-0.988967351996216,0.18602871078005,-1.64648515318547,-1.40359228570385,-1.48035479695886,-0.446450839024208,0.173939377968369,-0.92198559248256,-0.791408666282216,0.717676901836971,-0.504707279446948,-1.38045309419543,-0.241136486178023,-0.79929069230873,-1.89864028393652,-0.568788069039382,-0.875299618303265,-1.74700525944033,-1.2239265826579,-1.08689267967688,-1.45129812099145,-0.69236029891838,-2.34640515359357,-1.0114538966976,-0.618573721191224,0.244442658704535
hsa-miR-130a-3p,-0.132120401308283,0.0391631714337086,-0.0289552938013856,-0.0274604531132416,-0.133839096696173,-0.26286174616545,-0.176048324144384,-0.0298628687443608,-0.0486708851533858,-0.287838049183862,0.0525190274782848,0.309033921747303,-0.276897284916884,-0.330677061942423,-0.309022979464418,-0.418802210004048,-0.208270995966442,-0.000346229732788906,-0.260761726877104,-0.440355270784116,-0.280519951241424,-0.251344727333436,-0.247325798392402,-0.0232244093407952,-0.278823338466747,-0.559182651238412,-0.246900828850109,-0.225022090832488,-0.35915461283948,-0.356299981712183,-0.155064192042091,-0.286142372125995,-0.360819869941371,-0.230725837289941,0.0688933125674892,-0.17659179633286,-0.119262577445967,-0.182801962848387,-0.257511948230017,-0.331737765294484,-0.199335020213854,0.0587086329770856,-0.140824327133391,-0.0341678633176418,-0.544882330856752
