"",TCGA-FA-8693,TCGA-FA-A4BB,TCGA-FA-A4XK,TCGA-FA-A6HN,TCGA-FA-A6HO,TCGA-FA-A7DS,TCGA-FA-A7Q1,TCGA-FA-A82F,TCGA-FA-A86F,TCGA-FF-8041,TCGA-FF-8042,TCGA-FF-8043,TCGA-FF-8046,TCGA-FF-8047,TCGA-FF-8061,TCGA-FF-8062,TCGA-FF-A7CQ,TCGA-FF-A7CR,TCGA-FF-A7CW,TCGA-FF-A7CX,TCGA-FM-8000,TCGA-G8-6324,TCGA-G8-6325,TCGA-G8-6326,TCGA-G8-6906,TCGA-G8-6907,TCGA-G8-6909,TCGA-G8-6914,TCGA-GR-7353,TCGA-GR-A4D4,TCGA-GR-A4D5,TCGA-GR-A4D6,TCGA-GS-A9TQ,TCGA-GS-A9TT,TCGA-GS-A9TU,TCGA-GS-A9TV,TCGA-GS-A9TW,TCGA-GS-A9TX,TCGA-GS-A9TY,TCGA-GS-A9TZ,TCGA-GS-A9U3,TCGA-GS-A9U4,TCGA-RQ-A68N,TCGA-RQ-A6JB,TCGA-RQ-AAAT
hsa-let-7a-2-3p,3.17645811147501,3.31365353320994,3.29729630267198,3.24162295820904,3.47501340287962,3.22990867105219,3.00295879784619,3.34345265117542,3.2436777625108,3.20253870925519,3.16920978191963,2.98215465829291,3.0393461794174,3.18171005127275,3.08964891675959,3.10544406463932,3.3750925048835,3.38494385552823,3.18636200458778,3.04862879738335,3.03215507454732,3.11109953895916,3.19307477740806,3.14399527214186,3.17029163796577,2.98438744693746,2.95818298564946,3.19367685922652,2.87258500644934,2.98746985724598,3.31502213697212,3.26167066517359,3.02718761996643,3.2690334152915,3.24526084533585,3.36383657448304,3.36280621716662,3.29054896919296,3.25326805940132,3.36418161544941,3.27781997571963,2.9725625289845,3.24861108964664,3.14215290030152,2.99421061352309
hsa-let-7a-3p,3.17741848782037,3.31450556048936,3.29746393787053,3.24159316501416,3.4753276534442,3.23244116946455,3.0030833564525,3.34301499783887,3.24488116638139,3.20328055100995,3.17024508815191,2.98314002469579,3.04181278196483,3.18201580105706,3.0892322648878,3.1055885088341,3.37530520713979,3.38554037690925,3.18621421563272,3.04940796247869,3.0329030216798,3.11072361791742,3.19107609301324,3.14664573434308,3.17057062600242,2.98387872952603,2.95989605977985,3.19449401028468,2.87340025577408,2.98746058358299,3.31523091908859,3.26209077955464,3.02861373810789,3.27019956104639,3.2466580143152,3.3640447526251,3.36270386771902,3.29064269538608,3.25405526524553,3.36193569545385,3.27885515683745,2.97520199639999,3.2494662543037,3.14191892401615,2.99479568083648
hsa-let-7a-5p,3.17709836237192,3.31422155139622,3.29740805947102,3.24160309607912,3.475222903256,3.2315970033271,3.00304183691707,3.34316088228438,3.24448003175786,3.20303327042503,3.16989998607448,2.98281156922817,3.04099058111568,3.18191388446229,3.08937114884506,3.10554036076917,3.37523430638769,3.38534153644891,3.18626347861774,3.04914824078025,3.03265370596897,3.11084892493133,3.19174232114485,3.14576224694267,3.1704776299902,2.9840483019965,2.95932503506972,3.19422162659863,2.87312850599917,2.98746367480399,3.31516132504977,3.26195074142762,3.02813836539407,3.26981084579476,3.24619229132208,3.36397535991108,3.36273798420155,3.2906114533217,3.25379286329746,3.36268433545237,3.27851009646484,2.97432217392816,3.24918119941801,3.14199691611127,2.99460065839869
hsa-let-7b-3p,3.25587440049164,3.25708036761943,3.22056374157727,3.19811459474203,3.29618984025463,3.19355309576001,2.87935966934582,3.32278997419391,3.213564706982,3.1908661310665,3.10506827478905,2.93342282768481,3.04143057484202,3.09967900614997,3.08540380479068,3.12530304746804,3.22827164486791,3.3254736583618,3.11422365073095,2.94916218439971,2.96256168989517,3.19418273020744,3.19326590909726,3.19432830172354,3.14404796037019,2.95906700261811,3.03875507481481,3.13533512772704,2.85446289160678,2.9585901674327,3.2112551539559,3.13633898572556,2.93442789044034,3.16490164735476,3.21817003518332,3.27486895274408,3.19404680905414,3.17375088657611,3.20936752775847,3.34422103628667,3.23540236528988,3.0007586484785,3.11923598299426,3.11594983864778,3.00261028406289
hsa-let-7b-5p,3.25587440049164,3.25708036761943,3.22056374157727,3.19811459474203,3.29618984025463,3.19355309576001,2.87935966934582,3.32278997419391,3.213564706982,3.1908661310665,3.10506827478905,2.93342282768481,3.04143057484202,3.09967900614997,3.08540380479068,3.12530304746804,3.22827164486791,3.3254736583618,3.11422365073095,2.94916218439971,2.96256168989517,3.19418273020744,3.19326590909726,3.19432830172354,3.14404796037019,2.95906700261811,3.03875507481481,3.13533512772704,2.85446289160678,2.9585901674327,3.2112551539559,3.13633898572556,2.93442789044034,3.16490164735476,3.21817003518332,3.27486895274408,3.19404680905414,3.17375088657611,3.20936752775847,3.34422103628667,3.23540236528988,3.0007586484785,3.11923598299426,3.11594983864778,3.00261028406289
hsa-let-7c-3p,2.74712782748986,2.73816469337838,2.6567684107137,2.71627137793161,2.86226628742891,2.6290955687045,2.50987021026196,3.04149220457548,2.60285845854745,2.34292280034932,2.38457631181278,2.42040744625568,2.67776086832668,2.5415870186869,2.55810960140312,2.75997946443975,2.56563454573129,2.6028135134079,2.60385836000069,2.45988262626587,2.62647109485534,2.47899323901379,2.41341730761253,2.60837085483396,1.99745828521863,2.36137032634887,2.28216215719087,2.74583381756955,2.31433204896896,2.48392468126949,2.75885466492628,2.7106015747335,2.19174974270887,2.43419400544191,2.61004440928308,2.62672905960661,2.42902481732853,2.4745124107441,2.37620064268061,2.44312041130206,2.55907832363529,2.38461744507923,2.74638840018282,2.72820166121903,2.75013459940671
hsa-let-7c-5p,2.74712782748986,2.73816469337838,2.6567684107137,2.71627137793161,2.86226628742891,2.6290955687045,2.50987021026196,3.04149220457548,2.60285845854745,2.34292280034932,2.38457631181278,2.42040744625568,2.67776086832668,2.5415870186869,2.55810960140312,2.75997946443975,2.56563454573129,2.6028135134079,2.60385836000069,2.45988262626587,2.62647109485534,2.47899323901379,2.41341730761253,2.60837085483396,1.99745828521863,2.36137032634887,2.28216215719087,2.74583381756955,2.31433204896896,2.48392468126949,2.75885466492628,2.7106015747335,2.19174974270887,2.43419400544191,2.61004440928308,2.62672905960661,2.42902481732853,2.4745124107441,2.37620064268061,2.44312041130206,2.55907832363529,2.38461744507923,2.74638840018282,2.72820166121903,2.75013459940671
hsa-let-7d-3p,2.77691945109284,2.78535666417886,2.8204994644068,2.77967141859592,2.88849217098954,2.76727116257609,2.6322931126566,2.72830841102553,2.74762418872042,2.66427321175303,2.80275586634574,2.69516934870668,2.55012129551238,2.82138341718593,2.73296481754004,2.67359944067816,2.82342286901546,2.88320827146447,2.7667824409656,2.72746815658007,2.75074919934271,2.65423759521701,2.80621664074978,2.70161037039537,2.77433558006616,2.71461045012708,2.64524004825549,2.74583381756955,2.460747509634,2.63544256323687,2.75554170797171,2.78834572650022,2.70844146112805,2.77932789958648,2.76444129115039,2.80527850315157,2.70494276158215,2.7791322482524,2.74359210866991,2.78882561608319,2.86208433041259,2.57316959916405,2.74244484525211,2.74511448695356,2.48472976804727
hsa-let-7d-5p,2.77691945109284,2.78535666417886,2.8204994644068,2.77967141859592,2.88849217098954,2.76727116257609,2.6322931126566,2.72830841102553,2.74762418872042,2.66427321175303,2.80275586634574,2.69516934870668,2.55012129551238,2.82138341718593,2.73296481754004,2.67359944067816,2.82342286901546,2.88320827146447,2.7667824409656,2.72746815658007,2.75074919934271,2.65423759521701,2.80621664074978,2.70161037039537,2.77433558006616,2.71461045012708,2.64524004825549,2.74583381756955,2.460747509634,2.63544256323687,2.75554170797171,2.78834572650022,2.70844146112805,2.77932789958648,2.76444129115039,2.80527850315157,2.70494276158215,2.7791322482524,2.74359210866991,2.78882561608319,2.86208433041259,2.57316959916405,2.74244484525211,2.74511448695356,2.48472976804727
hsa-let-7e-3p,2.83810779883565,3.06295006299079,3.01950131730945,2.84224124788515,3.04236077670699,2.47929012330717,2.47569244122412,2.98309168492386,2.79396807255096,2.80336373924999,2.7357355986519,2.50337995313239,2.63217566004556,2.54926718254883,2.55718549353252,2.69620509492113,2.64612752555683,2.85530511494748,2.62297355327241,2.51361750291929,2.66065614373642,2.61259239650006,2.75827341096568,2.687160228529,2.70955327334713,2.45395686521872,2.52604595293731,2.73227949785536,2.50136416384953,2.65736531473129,3.0474645937764,2.89654697133783,2.44133647815677,2.77298732163347,2.76177975339172,2.83405256158968,2.95001106117167,2.78197393705092,2.80445024378436,2.82254968923971,2.81000975024998,2.547716564572,2.82831734178226,2.73327578576569,2.6550516628357
hsa-let-7e-5p,2.83810779883565,3.06295006299079,3.01950131730945,2.84224124788515,3.04236077670699,2.47929012330717,2.47569244122412,2.98309168492386,2.79396807255096,2.80336373924999,2.7357355986519,2.50337995313239,2.63217566004556,2.54926718254883,2.55718549353252,2.69620509492113,2.64612752555683,2.85530511494748,2.62297355327241,2.51361750291929,2.66065614373642,2.61259239650006,2.75827341096568,2.687160228529,2.70955327334713,2.45395686521872,2.52604595293731,2.73227949785536,2.50136416384953,2.65736531473129,3.0474645937764,2.89654697133783,2.44133647815677,2.77298732163347,2.76177975339172,2.83405256158968,2.95001106117167,2.78197393705092,2.80445024378436,2.82254968923971,2.81000975024998,2.547716564572,2.82831734178226,2.73327578576569,2.6550516628357
hsa-let-7f-1-3p,3.06221860029694,3.30740406702612,3.30006545993694,3.20585096176488,3.49421341594406,3.18988607140663,2.98916157996095,3.29046301584643,3.19744898722317,3.05974274379424,3.1063118525143,2.94311193029644,2.96045964411327,3.09909446847296,3.01413305561381,2.97892728842671,3.3724813650463,3.38138396922536,3.137737059822,3.01322149262382,2.99564203237038,3.00762220964356,3.0644163375631,3.12198808795824,3.1224367228495,2.90542538012289,2.83165004659786,3.14337002523619,2.69314982208107,2.95582543272078,3.32756832682613,3.27958036416336,2.97075209453711,3.23039554544226,3.16918208515944,3.3158757774606,3.28887114672331,3.24679913091248,3.23370572132446,3.26236695249903,3.23571875954994,2.90978152121843,3.24611366444768,3.09948039617164,2.92725750426772
hsa-let-7f-2-3p,3.06837142715064,3.31045885681359,3.30321314480026,3.21017546327957,3.49554292783828,3.19215180812219,2.99160435906022,3.29292766401997,3.20062828116585,3.06403999736933,3.11181222368873,2.94701052537074,2.96400081413128,3.10169544324491,3.01577990702056,2.97887000683098,3.37280818153341,3.38478935586924,3.14027702155514,3.01395277069035,2.99793285333503,3.00551689036777,3.06412848110404,3.12390198685104,3.12357017417625,2.90554337406386,2.83381283043566,3.14721607932278,2.69827738035542,2.95724831873534,3.32922709462103,3.28331188968318,2.97351853970452,3.23233618995554,3.172634424574,3.32160911510653,3.28903289896843,3.24827200950359,3.23452482887989,3.26245467289209,3.23710583201732,2.91519631525257,3.24974375317386,3.10245030105922,2.92845452367137
hsa-let-7f-5p,3.06529501372379,3.30893146191985,3.3016393023686,3.20801321252223,3.49487817189117,3.19101893976441,2.99038296951059,3.2916953399332,3.19903863419451,3.06189137058179,3.10906203810151,2.94506122783359,2.96223022912227,3.10039495585893,3.01495648131718,2.97889864762885,3.37264477328985,3.3830866625473,3.13900704068857,3.01358713165708,2.9967874428527,3.00656955000567,3.06427240933357,3.12294503740464,3.12300344851288,2.90548437709337,2.83273143851676,3.14529305227948,2.69571360121825,2.95653687572806,3.32839771072358,3.28144612692327,2.97213531712081,3.2313658676989,3.17090825486672,3.31874244628356,3.28895202284587,3.24753557020803,3.23411527510217,3.26241081269556,3.23641229578363,2.9124889182355,3.24792870881077,3.10096534861543,2.92785601396955
hsa-let-7g-3p,2.7683172254381,3.03371505757469,2.92937170426035,2.97134469532519,3.26175353894808,2.83636787463785,2.6780027814437,2.89256690394561,2.94759512055579,2.67926586179714,2.81638718120532,2.64937877830995,2.69977205988249,2.82663271470234,2.69695510200116,2.7753919375125,3.0396204824454,3.034261323714,2.91870530327009,2.77748935778268,2.75377811890462,2.84245270453302,2.83674549533443,2.89434441313465,2.88453381628176,2.72064668670821,2.71198175164812,2.86250210550555,2.49879882558513,2.66737982038153,3.07036124683662,3.03119960711686,2.84227929367044,2.83157730721271,2.8869775138647,3.09540822915243,2.95518600682262,3.00206429084731,2.88820313084756,2.98465930884742,3.06760581315696,2.76209299324022,2.96009049332201,2.82456429588366,2.62840975616637
hsa-let-7g-5p,2.7683172254381,3.03371505757469,2.92937170426035,2.97134469532519,3.26175353894808,2.83636787463785,2.6780027814437,2.89256690394561,2.94759512055579,2.67926586179714,2.81638718120532,2.64937877830995,2.69977205988249,2.82663271470234,2.69695510200116,2.7753919375125,3.0396204824454,3.034261323714,2.91870530327009,2.77748935778268,2.75377811890462,2.84245270453302,2.83674549533443,2.89434441313465,2.88453381628176,2.72064668670821,2.71198175164812,2.86250210550555,2.49879882558513,2.66737982038153,3.07036124683662,3.03119960711686,2.84227929367044,2.83157730721271,2.8869775138647,3.09540822915243,2.95518600682262,3.00206429084731,2.88820313084756,2.98465930884742,3.06760581315696,2.76209299324022,2.96009049332201,2.82456429588366,2.62840975616637
hsa-let-7i-3p,2.99658641457881,2.93101518819233,2.91516810518758,2.86589613790609,2.9499544458829,2.81235967167624,2.61801359328677,2.91908090992877,2.85544694847079,2.78675309794183,2.833621886867,2.6173173899527,2.65451799159483,2.7184627009551,2.69214931075588,2.79214249689598,2.88715321217367,2.99530183839313,2.73918883285154,2.70524020694281,2.68493853009186,2.79290047464991,2.9267672050543,3.03524933222881,2.87772819933754,2.58134099091429,2.75481389342624,2.82242419985014,2.41175723341607,2.57579206035779,2.87886704497679,2.77637848661984,2.69631438058289,2.77932789958648,2.87129386087673,3.01464973605855,2.97720741024568,2.86461897186746,2.84169059813083,3.12224641303042,3.00356894170685,2.84545597917486,2.87167698546474,2.79157621813548,2.4771244471398
hsa-let-7i-5p,2.99658641457881,2.93101518819233,2.91516810518758,2.86589613790609,2.9499544458829,2.81235967167624,2.61801359328677,2.91908090992877,2.85544694847079,2.78675309794183,2.833621886867,2.6173173899527,2.65451799159483,2.7184627009551,2.69214931075588,2.79214249689598,2.88715321217367,2.99530183839313,2.73918883285154,2.70524020694281,2.68493853009186,2.79290047464991,2.9267672050543,3.03524933222881,2.87772819933754,2.58134099091429,2.75481389342624,2.82242419985014,2.41175723341607,2.57579206035779,2.87886704497679,2.77637848661984,2.69631438058289,2.77932789958648,2.87129386087673,3.01464973605855,2.97720741024568,2.86461897186746,2.84169059813083,3.12224641303042,3.00356894170685,2.84545597917486,2.87167698546474,2.79157621813548,2.4771244471398
hsa-miR-1-3p,1.0481317076744,0.793191655451423,0.657924421262157,0.102837473327582,1.15944046784655,-0.0670809722337205,0.623947888310211,2.10735452091751,0.0988919232296559,-0.291025515467151,-0.558359758393252,-0.398100474495841,0.590293905711559,0.869819686495976,0.285477932677772,1.02622025572178,-0.498455684994445,0.447303520702933,0.813400281638607,2.37219538470024,0.54995067561112,0.0124180832782266,-0.0991035350713725,0.771917999465115,0.683673296390917,-0.167960552588366,-0.307672542565005,0.514841895909281,0.147514774054866,0.856600574704384,1.53626050904064,1.55375137238901,0.0755333647859545,-0.117266101351358,0.176681386727233,0.542792625267058,-0.249739297753283,0.31894746835203,-0.173145342444924,-0.259932958503636,0.18472934178727,0.644025796110833,0.590847037254306,0.412978909835839,0.596929220860092
hsa-miR-1-5p,1.07240049357451,0.852879762956897,0.366206198072474,-0.0421384571708717,1.06749058357118,-0.563215827625278,0.560836063664904,2.10112187355547,-0.255118919817131,-0.554905160008959,-0.558359758393252,-0.203243479975829,0.982334892500634,1.08336926581575,0.187800400761381,1.04570930224523,-0.498455684994445,0.419459287102761,0.900503667174479,2.36759284487533,0.54995067561112,-0.123365049525293,0.361346239066298,0.859293299321634,0.443937437711151,0.274106605235003,-0.588244474095272,0.113623712839492,0.239134045318094,0.802436155837799,1.46686276050296,1.61112978753356,0.0755333647859545,-0.559462702318567,0.294099861566241,0.602795004613306,0.00884219582398739,0.558809233834636,0.161939320706852,-0.0262439943133327,-0.115195571727611,0.749328766143293,0.877150695443477,0.639783398884546,0.596929220860092
hsa-miR-100-3p,3.05566602912625,3.12063740054884,2.83274580843491,3.07073033711302,3.19181989399835,2.98443458598432,2.9160273317502,3.31837975038101,3.07598908622974,3.17504439419722,2.85896792757562,2.99324257250568,2.90789543411022,2.95480426623791,3.06613752087921,3.19369885551718,3.12604829183435,3.16806993010231,2.88374092619931,2.81457415939575,2.97746536609376,2.82167784336646,3.09743424359911,2.96527702821646,2.97206949178414,2.86545323500887,2.85632595821138,3.09534289915374,2.8027764183911,2.92794365939828,3.03471425973536,2.902169218398,2.89398708487305,3.11815836539577,3.12932199718922,3.15452252155163,3.12033674632532,3.02335776669649,3.16017899632699,3.28455856958295,3.18113978724759,2.55625806097392,3.14901057428472,3.02500385048496,2.93432946638254
hsa-miR-100-5p,3.05566602912625,3.12063740054884,2.83274580843491,3.07073033711302,3.19181989399835,2.98443458598432,2.9160273317502,3.31837975038101,3.07598908622974,3.17504439419722,2.85896792757562,2.99324257250568,2.90789543411022,2.95480426623791,3.06613752087921,3.19369885551718,3.12604829183435,3.16806993010231,2.88374092619931,2.81457415939575,2.97746536609376,2.82167784336646,3.09743424359911,2.96527702821646,2.97206949178414,2.86545323500887,2.85632595821138,3.09534289915374,2.8027764183911,2.92794365939828,3.03471425973536,2.902169218398,2.89398708487305,3.11815836539577,3.12932199718922,3.15452252155163,3.12033674632532,3.02335776669649,3.16017899632699,3.28455856958295,3.18113978724759,2.55625806097392,3.14901057428472,3.02500385048496,2.93432946638254
hsa-miR-101-2-5p,3.14290500502641,3.21676878734422,3.02711837051263,3.19390088048786,3.29372148514251,3.13204559342398,3.04898571521793,3.25179456562173,3.24865287162092,3.27010682355828,3.23820311401824,2.99763421337994,3.02775820092863,3.15838206283477,3.10141428528038,3.1916835507593,3.25012114761292,3.29275448294105,3.13383138783751,3.01753069146721,2.92125696344957,3.22505881186967,3.27135070970789,3.26407735749019,3.24268733054618,2.99903757944898,2.96827083538839,3.05141705777542,2.87624525073097,2.9422911797415,3.19348376226577,3.12909795462643,2.9930511691049,3.13468814083204,3.16099814378585,3.38777408843725,3.33999190473496,3.26295888484337,3.17506600240916,3.44235622659688,3.30494532945131,3.00406213817509,3.11383504040475,2.98431132761938,2.93674769065897
