"",TCGA.FA.8693,TCGA.FA.A4BB,TCGA.FA.A4XK,TCGA.FA.A6HN,TCGA.FA.A6HO,TCGA.FA.A7DS,TCGA.FA.A7Q1,TCGA.FA.A82F,TCGA.FA.A86F,TCGA.FF.8041,TCGA.FF.8042,TCGA.FF.8043,TCGA.FF.8046,TCGA.FF.8047,TCGA.FF.8061,TCGA.FF.8062,TCGA.FF.A7CQ,TCGA.FF.A7CR,TCGA.FF.A7CW,TCGA.FF.A7CX,TCGA.FM.8000,TCGA.G8.6324,TCGA.G8.6325,TCGA.G8.6326,TCGA.G8.6906,TCGA.G8.6907,TCGA.G8.6909,TCGA.G8.6914,TCGA.GR.7353,TCGA.GR.A4D4,TCGA.GR.A4D5,TCGA.GR.A4D6,TCGA.GS.A9TQ,TCGA.GS.A9TT,TCGA.GS.A9TU,TCGA.GS.A9TV,TCGA.GS.A9TW,TCGA.GS.A9TX,TCGA.GS.A9TY,TCGA.GS.A9TZ,TCGA.GS.A9U3,TCGA.GS.A9U4,TCGA.RQ.A68N,TCGA.RQ.A6JB,TCGA.RQ.AAAT
ABCA1,1.13702786279383,2.23903135456022,1.71737715008837,2.30778979152731,2.5271027769492,1.69452032644864,1.54903412519761,2.05294907948036,1.51657297123333,1.15213065373093,1.17576036640424,0.879832457827768,1.81734338874745,0.951301842037203,1.12684622230463,1.11963339108852,2.89695912201886,3.59294026229219,1.15775082301397,1.63207011511858,1.01341678096126,1.10080936407953,1.66411925207307,1.83563627932627,1.23497271016267,1.14428911214142,1.16554090693302,1.79596342003993,0.930057776412038,3.46809423186128,2.84233289849789,1.41527970344601,2.41909312026503,2.00212606070789,2.71558310945811,3.09956010470602,2.93865569800367,2.95060816752055,0.983874235062138,3.3139204945709,2.57819534175229,3.10194855948821,1.90026801139196,2.22924572952018,1.08806374953658
ACSL1,3.1633628226576,3.43360660376587,2.7537474771007,3.22941610928666,3.51117435903284,4.46343097683127,3.00518835123306,3.42009069279783,3.05693726622161,2.47353669317979,2.86091245703866,3.01058593164216,1.83177689698954,1.36772773088655,2.72936588820325,2.49373436692342,4.65511904289613,4.89894337559131,3.29477555636905,3.18637333809937,3.16389076641587,3.15189494648934,4.29648715186083,4.81001358043172,2.98378652993971,1.41275052411968,3.05770993396399,3.30117806909813,1.54577614475995,2.94270920384481,3.81532485772968,1.62042278469236,3.34287939589488,3.35247646229018,3.93720350451839,4.22047324669893,4.25052118442486,3.28820555349488,4.1511917551238,3.77226510130811,4.19054651883783,5.22186404308306,3.58600380986254,3.93691364226684,2.9587942356518
ACVR1,1.73498508970853,1.9879727079446,2.49994343740181,1.97625752990026,1.70428901758499,1.81079546225173,2.30488132236483,1.8117617458177,2.14247012628034,1.39661005375152,1.07018329738668,1.15360575000256,1.06168151771986,0.878150699583257,1.08226271384111,1.67402809970247,2.29346218438183,2.37377632479103,1.34977931671145,1.32823414866916,1.4691759555004,1.51640956659057,1.58275847737904,1.77384269265932,1.53393025002292,0.629161839859014,1.15613064703151,1.5182584937684,0.952313667736222,2.74918785238635,2.45723294072624,0.902513889144075,1.29542418618528,1.79448850311778,2.63550141905263,2.50924771426473,2.49000341640468,2.67706692071437,1.22419303922165,3.06145920139803,2.51709923658673,2.43812444856501,1.6743114195259,2.45230494467812,0.695377277120791
AGO2,0.897811169536139,1.80063620855687,1.774237391945,1.40677520295056,2.14821243731834,2.42375658307659,1.67086979559929,1.60543859013985,2.87007561242728,1.10883590690824,1.34860950885326,1.40817455423583,0.956784227760398,1.199507952604,1.82534708968708,1.30965737372588,2.63945594744557,2.14114662776809,1.5077572797552,2.04196027858629,1.63933153879769,1.38797364604416,1.2183460927581,1.14276428470655,1.32985046589572,0.979359638449612,1.04161784808793,1.19446692129971,2.02005146851236,1.91506409328937,1.84688192822395,1.02605187372731,2.63421976050036,2.60791246399073,2.64415928228022,2.05109385830168,2.36755890774148,2.5528291584988,0.850551948836842,1.57687175560907,1.99642455815954,2.17051890355617,1.11581625476534,1.80622347545144,1.2374407933832
AKAP12,0.485933805588034,3.57450158604282,0.876212070091199,0.723844256196627,0.719731439792069,0.741429090886183,1.02477193279712,1.11615523409609,1.08841286070794,2.84801106470388,0.700769241065316,3.20858035261158,1.15498660827336,0.625601957468303,0.647377381130096,0.482166910817952,3.93372849314765,1.16639157859576,0.507981213543931,0.416289890647267,0.374596297120763,2.97752057915759,0.508915187319574,1.47491165671346,1.15164110889118,0.306148992251448,0.431477242765419,4.31207462192796,2.83615237715086,0.794648055842966,1.78831263862891,1.66207425512119,0.356417496728837,2.62005772132356,1.56482842637993,1.42069395175191,3.26802998836094,0.722763391375185,0.148526325196958,2.388349973889,1.38998790889698,0.875370056383966,0.678304769768501,0.864191669755263,0.989425711095216
APP,4.24334304605919,3.84483838584888,6.2349847544381,3.46906718704573,3.72848131571919,4.47063021815248,3.69172377570535,4.62061680998571,4.43323740899005,3.0651417020463,3.51602666010554,3.26142223810813,3.76873813459456,2.28024777248057,3.21798562105462,4.09791610808602,3.95544762361856,4.40362968942132,2.99903949085109,4.51420783816342,3.75338811032537,4.69738521163425,3.88164735942634,4.32001077921804,3.91590407373067,1.9996563445074,2.9164675899807,4.14911736332523,3.72075570171528,5.02552880833902,5.6264359925474,2.59026895190088,3.64504252381511,3.81119232008929,4.41590028912031,4.85498722585522,5.44584117496184,3.83532477860426,3.10283653413727,4.3828825343923,4.65667174104826,5.16944289286436,4.1310198322813,5.23969232045354,3.54121540214696
ARID1A,2.10123100670957,2.6487130922104,3.54146998840529,4.03370387187101,4.22981927083211,4.15822430583066,4.01210188970019,3.40952373235962,3.95170813253089,2.71627865722736,2.84396682312024,3.29463970152503,2.45414926289833,2.50724145071716,2.82147091821808,2.98508984887717,4.54183548164809,4.32014709462436,3.61318139459103,4.22755752381622,3.11478758198043,3.10960024893192,2.08093992000947,2.79818997794654,3.00466001797675,2.79560198865382,2.44510552296185,2.99272502777395,2.87000205860298,4.6066081856549,3.89231914027309,3.13077088841194,3.81207707304812,4.97996512742848,4.59505269422714,4.2775508146341,4.17002977841424,4.74333968569167,2.94039733019401,4.02926523380407,4.29361220806466,3.82631580522343,3.21371443314869,3.81793270102087,2.86479167728104
ARNTL,0.944611135854201,1.7781482002821,0.77261790300342,2.71701747312065,1.25330564872948,1.33843901918784,1.74029799305567,1.31376241980427,1.74881250442227,1.12214120959992,1.28014970129348,1.14383634287068,0.369713525537456,0.575136534862982,1.12996602803544,1.32502091335978,1.95102549216674,2.22064384174477,1.34049064598772,1.6180652032057,1.84413523038501,1.36435664601627,1.31603310110312,1.1338982491289,0.850117782608913,0.845197227418203,0.660918984042744,0.693225685364276,1.11265345059225,1.28917797938182,1.58676925780322,1.17569435692228,0.47113296204344,0.457042157994704,1.78722879549781,2.22332357957583,1.71206665375376,2.1039658616761,0.818302707924387,1.88884662261739,1.75932612571596,2.50223036991174,0.889194710777488,1.5560399659033,0.45694739364331
ATP2A2,2.23466643868248,3.72380824856607,4.01663767600251,3.48874776727743,3.70052121178454,4.73865121359985,4.26015180414306,3.73398611872127,4.50047251489414,2.46110776626437,2.33427469474218,2.48744998387602,2.21747699376233,2.72764537986635,2.24288438048353,2.30271396406915,4.52032831877355,4.85564238618148,3.3272327123438,3.77956138517633,1.97652721520758,1.98367816844548,2.42480330383893,2.40820934369011,2.17901654159905,1.69526706227749,2.22120562945478,2.5252470411415,2.32604305425911,4.1650583469765,4.30080526437214,2.10832782254773,4.03769922233466,4.88113347082757,4.2514923946129,4.44448058610514,4.39621411589632,3.87263753747822,2.86982616483927,4.33773224773317,4.17029000162661,4.60005079623446,3.61049118565859,3.95449433824725,2.67830231254017
ATXN1,0.854023927483794,1.23183586306699,0.949550420298951,1.33520918089308,1.61246773694611,0.979329177888362,0.859363805375019,0.778286138537314,1.66500794840273,0.605041368097437,0.659789349414263,0.90782143822965,0.610041349415637,0.944532090684889,0.739413477780018,0.817189742310453,1.74459552296089,1.804027784292,1.1923528484332,0.920653508533037,1.30749689187607,2.40633880997052,0.80460047639215,1.48223885040371,0.664233380648033,0.295675789969881,0.975498634028099,0.933476642976549,0.70370617018938,2.40930814927052,1.60625093113406,0.727541795852309,0.811351959033544,0.489062893143521,2.44783097831927,2.22836590744756,1.35884242618261,2.37382442317351,1.75133070192281,1.77796146375845,1.76777827822955,1.51425346000113,0.85419280633784,1.55848674129739,0.334815275645392
