"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GOLevel"
"GO:0090575","RNA polymerase II transcription regulator complex","7/69","168/19550",2.10484629613887e-06,0.00048411464811194,0.000383303588665289,"CLOCK/RB1/E2F3/FOS/STAT3/NR5A2/YAP1",7,"CC"
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","10/69","450/18368",6.58156241739507e-06,0.00118633227358049,0.000988123946514003,"CLOCK/KLF6/FOXO3/E2F3/NFIB/FOS/MEOX2/STAT3/NR5A2/NFE2L2",10,"MF"
"GO:0001216","DNA-binding transcription activator activity","10/69","456/18368",7.39147834006538e-06,0.00118633227358049,0.000988123946514003,"CLOCK/KLF6/FOXO3/E2F3/NFIB/FOS/MEOX2/STAT3/NR5A2/NFE2L2",10,"MF"
"GO:0014706","striated muscle tissue development","11/70","384/18723",1.71362185935373e-07,0.000214455312786589,0.000146599569213941,"JARID2/RB1/ITGB1/CCNT2/ARNTL/DDX5/ACVR1/FOS/ZBTB18/MEOX2/YAP1",11,"BP"
"GO:0045860","positive regulation of protein kinase activity","11/70","386/18723",1.80517940056051e-07,0.000214455312786589,0.000146599569213941,"CCNT2/STRADB/RELN/NTF3/FBXW7/ACSL1/TAB2/RAPGEF2/WNK1/TIAM1/HMGA2",11,"BP"
"GO:0033674","positive regulation of kinase activity","11/70","467/18723",1.18711511704418e-06,0.000582909614560858,0.000398471351793108,"CCNT2/STRADB/RELN/NTF3/FBXW7/ACSL1/TAB2/RAPGEF2/WNK1/TIAM1/HMGA2",11,"BP"
"GO:2000737","negative regulation of stem cell differentiation","4/70","23/18723",1.50336526137767e-06,0.000582909614560858,0.000398471351793108,"JAG1/STAT3/YAP1/NFE2L2",4,"BP"
"GO:0007519","skeletal muscle tissue development","7/70","155/18723",1.80160434668573e-06,0.000582909614560858,0.000398471351793108,"RB1/CCNT2/ARNTL/DDX5/FOS/ZBTB18/MEOX2",7,"BP"
"GO:0061614","pri-miRNA transcription by RNA polymerase II","5/70","55/18723",1.90100539753644e-06,0.000582909614560858,0.000398471351793108,"DDX5/FOXO3/NFIB/FOS/STAT3",5,"BP"
"GO:0001837","epithelial to mesenchymal transition","7/70","157/18723",1.96265863488504e-06,0.000582909614560858,0.000398471351793108,"SPRED1/DDX5/ACVR1/JAG1/PDCD4/TIAM1/HMGA2",7,"BP"
"GO:0007568","aging","9/70","339/18723",4.63070916115831e-06,0.00110025649669121,0.000752124656386029,"MAPK9/ARNTL/APP/FOXO3/FOS/STAT3/PDCD4/NFE2L2/HMGA2",9,"BP"
"GO:0045669","positive regulation of osteoblast differentiation","5/70","69/18723",5.89774666569089e-06,0.00127391327978923,0.000870834746905363,"ACVR1/JAG1/FBN2/NELL1/YAP1",5,"BP"
"GO:0009755","hormone-mediated signaling pathway","7/70","190/18723",6.93288998186208e-06,0.00134449537143056,0.000919083979318338,"CLOCK/ARNTL/DDX5/ACSL1/NR5A2/YAP1/HMGA2",7,"BP"
"GO:0048863","stem cell differentiation","7/70","206/18723",1.17499237046266e-05,0.00164252025457458,0.00112281089527228,"JARID2/ACVR1/JAG1/STAT3/YAP1/NFE2L2/HMGA2",7,"BP"
"GO:0034599","cellular response to oxidative stress","8/70","288/18723",1.17520388584882e-05,0.00164252025457458,0.00112281089527228,"MAPK9/ATP2A2/ARNTL/FOXO3/FBXW7/FOS/TP53INP1/NFE2L2",8,"BP"
"GO:0045637","regulation of myeloid cell differentiation","7/70","210/18723",1.33118832716688e-05,0.00166468603439395,0.00113796320710166,"RB1/FOXO3/PIK3R1/JAG1/FBXW7/FOS/STAT3",7,"BP"
"GO:0006984","ER-nucleus signaling pathway","4/70","46/18723",2.59659861036512e-05,0.00293026277365177,0.00200309917585712,"ATP2A2/INSIG1/FBXW7/NFE2L2",4,"BP"
"GO:0030111","regulation of Wnt signaling pathway","8/70","328/18723",2.99124660672942e-05,0.00293026277365177,0.00200309917585712,"ARNTL/APP/FOXO3/ZEB2/YAP1/WNK1/WIF1/TIAM1",8,"BP"
"GO:0030857","negative regulation of epithelial cell differentiation","4/70","49/18723",3.34301330646251e-05,0.00293026277365177,0.00200309917585712,"SPRED1/JAG1/ZEB1/YAP1",4,"BP"
"GO:0050804","modulation of chemical synaptic transmission","9/70","439/18723",3.61705330409375e-05,0.00293026277365177,0.00200309917585712,"RAB5A/ITGB1/ATP2A2/APP/RELN/NTF3/RAPGEF2/STAT3/SNCG",9,"BP"
