miRNA,cand.ceRNA,loc.start,loc.end,numOfseg
hsa-miR-1-3p,CLOCK JARID2,0.195762385846267,1.03478215877281,19
hsa-miR-1-3p,JARID2 KIF2A,0.73894657881406,1.03478215877281,6
hsa-miR-1-3p,JARID2 UTRN,0.568729590351537,1.53393901890004,20
hsa-miR-1-3p,KIF2A TWF1,0.499357897485211,1.36636495514408,18
hsa-miR-101-3p,ATXN1 FBN2,13.1311787473081,14.0075409798479,12
hsa-miR-101-3p,ATXN1 RNMT,12.6134291403884,13.0473641301277,12
hsa-miR-101-3p,ATXN1 SPRED1,12.7602245380334,13.2951357810459,16
hsa-miR-101-3p,ATXN1 ZEB2,12.994561515618,14.0075409798479,17
hsa-miR-101-3p,KLF6 SPRED1,13.021668459257,13.2388012853847,8
hsa-miR-101-3p,RAB5A SPRED1,12.6666565646898,13.0764859198637,12
hsa-miR-101-3p,RAB5A ZEB1,11.7661666266658,12.6134291403884,12
hsa-miR-101-3p,RAB5A ZEB2,11.7661666266658,12.6666565646898,13
hsa-miR-101-3p,SPRED1 ZEB2,12.994561515618,13.2951357810459,10
hsa-miR-106b-5p,CROT ZBTB4,9.45934434960366,9.91592011655801,11
hsa-miR-106b-5p,RB1 ZBTB18,9.45934434960366,10.0383299152673,13
hsa-miR-124-3p,CLOCK PTBP1,0.242225880575356,1.25611510086869,10
hsa-miR-124-3p,GRIA2 NELL1,0,0.0287552220527971,9
hsa-miR-124-3p,ITGB1 KIF2A,0.266657683423273,1.25611510086869,9
hsa-miR-125b-5p,GALNT15 HMGA2,7.35324584881974,7.63592578761945,9
hsa-miR-129-5p,FBXW7 ZEB2,3.08253361533074,5.44223986604505,9
hsa-miR-129-5p,MATR3 NR3C2,2.48540708271104,4.01325607468659,10
hsa-miR-130a-3p,RNMT WNK1,4.90320821979612,5.29620405531471,10
hsa-miR-140-3p,CCNT2 RAP2A,11.0630128767811,11.5459831280162,15
hsa-miR-140-3p,CCNT2 TAB2,11.3653036087891,11.9349402677757,11
hsa-miR-141-3p,CLOCK ZBTB18,5.30430380400653,7.48833003997059,11
hsa-miR-141-3p,MAPK9 ZEB2,3.63796976223384,4.70112303103355,18
hsa-miR-142-3p,ATP2A2 CCNT2,14.3336130733617,14.6730653273068,10
hsa-miR-142-3p,CCNT2 TAB2,14.3336130733617,15.0675300111897,18
